,save_date,court_name,court_office,case_number,case_itemNum,casedate_full,casedate_year,casedate_month,casedate_date,casedate_day,category,address_full,address_sido,address_gugun,address_donggil,address_jibeon,area,area_py,price_estimate,price_bidding,discount_rate,number_miss,sale_type
0,2023-03-22-191046,서울중앙지방법원,경매21계,2019타경5285,1.0,2023-03-28,2023,3,28,화,다가구주택,서울특별시 관악구 신림동 103-260,서울특별시,관악구,신림동,103-260,132.0,39.9,799510100,511686000,37,2,일괄매각
1,2023-03-22-191046,서울중앙지방법원,경매21계,2019타경8383,1.0,2023-03-28,2023,3,28,화,아파트,"서울특별시 강남구 언주로81길 31, 4층401호 (역삼동,탑팰리스아파트)",서울특별시,강남구,언주로81길,31,84.97,25.7,859000000,859000000,0,0,
2,2023-03-22-191046,서울중앙지방법원,경매21계,2019타경104335,1.0,2023-03-28,2023,3,28,화,대지,서울특별시 종로구 평창동 537-12,서울특별시,종로구,평창동,537-12,1021.0,308.9,653440000,214120000,68,5,
3,2023-03-22-191046,서울중앙지방법원,경매7계,2020타경6512,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 종로구 성균관로17길 37, 2층202호 (명륜1가,방산빌라)",서울특별시,종로구,성균관로17길,37,55.95,16.9,260000000,68158000,74,6,
4,2023-03-22-191046,서울중앙지방법원,경매7계,2020타경109176,,2023-03-23,2023,3,23,목,다세대,"서울특별시 중구 다산로4길 20, 3층302호 (신당동,다산미룸)",서울특별시,중구,다산로4길,20,28.053,8.5,352300000,59106000,84,8,
5,2023-03-22-191046,서울중앙지방법원,경매7계,2020타경111025,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 관악구 은천로5길 8-16, 6층601호 (봉천동,노블레스)",서울특별시,관악구,은천로5길,8-16,29.9,9.0,300000000,40265000,87,9,
6,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경1705,1.0,2023-03-22,2023,3,22,수,다세대,"서울특별시 관악구 난곡로26길 115, 2층201호 (신림동,대림아트빌)",서울특별시,관악구,난곡로26길,115,28.92,8.7,254000000,66584000,74,6,
7,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경1712,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 관악구 난곡로26길 115, 4층401호 (신림동,대림아트빌)",서울특별시,관악구,난곡로26길,115,28.92,8.7,277000000,90767000,68,5,
8,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경2487,1.0,2023-03-22,2023,3,22,수,상가,"서울특별시 중구 퇴계로 123, 4층4088호 (충무로2가,하이해리엇)",서울특별시,중구,퇴계로,123,3.83,1.2,52000000,26624000,49,3,
9,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경2494,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 중구 을지로 264, 4층4223호 (을지로6가,동대문패션티브이)",서울특별시,중구,을지로,264,3.97,1.2,125000000,40960000,68,5,
10,2023-03-22-191046,서울중앙지방법원,경매10계,2021타경2500,1.0,2023-04-05,2023,4,5,수,상가,"서울특별시 중구 퇴계로 123, 6층6011호 (충무로2가,하이해리엇)",서울특별시,중구,퇴계로,123,5.02,1.5,110000000,36045000,68,5,
11,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경2517,1.0,2023-03-28,2023,3,28,화,상가,"서울특별시 중구 을지로 264, 7층7021호 (을지로6가,동대문패션티브이)",서울특별시,중구,을지로,264,3.97,1.2,91000000,46592000,49,3,
12,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경2593,1.0,2023-03-28,2023,3,28,화,임야,서울특별시 서초구 방배동 산79-61,서울특별시,서초구,방배동,산79-61,330.0,99.8,485100000,248371000,49,3,
13,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경2739,1.0,2023-03-22,2023,3,22,수,아파트,"서울특별시 중구 동호로5길 12, 4층402호 (신당동,다다유크레스)",서울특별시,중구,동호로5길,12,64.04,19.4,602000000,602000000,0,0,
14,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경2852,1.0,2023-03-28,2023,3,28,화,상가,"서울특별시 중구 을지로45길 62, 4층103호 (신당동,누죤빌딩)",서울특별시,중구,을지로45길,62,5.04,1.5,40000000,40000000,0,0,
15,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경2999,1.0,2023-03-22,2023,3,22,수,상가,"서울특별시 중구 을지로 264, 1층1091호 (을지로6가,동대문패션티브이)",서울특별시,중구,을지로,264,3.97,1.2,187000000,95744000,49,3,
16,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경3206,1.0,2023-03-23,2023,3,23,목,근린시설,"서울특별시 동작구 성대로12길 84, 1층101호 (상도동,다나네스트빌)",서울특별시,동작구,성대로12길,84,30.44,9.2,100000000,32768000,68,5,
17,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경3350,1.0,2023-03-23,2023,3,23,목,다세대,"서울특별시 동작구 양녕로25바길 15, 3층302호 (상도동,엘리시아)",서울특별시,동작구,양녕로25바길,15,43.41,13.1,343000000,140493000,60,4,
18,2023-03-22-191046,서울중앙지방법원,경매7계,2021타경3411,1.0,2023-03-23,2023,3,23,목,상가,"서울특별시 중구 을지로45길 72, 3층85호 (신당동,디자이너크럽)",서울특별시,중구,을지로45길,72,4.94,1.5,80000000,51200000,36,2,
19,2023-03-22-191046,서울중앙지방법원,경매21계,2021타경3633,1.0,2023-03-28,2023,3,28,화,다세대,"서울특별시 관악구 난곡로26마길 28, 1층203호 (신림동,라임카운티)",서울특별시,관악구,난곡로26마길,28,28.52,8.6,313000000,128205000,60,4,
20,2023-03-22-191046,서울중앙지방법원,경매4계,2021타경3756,1.0,2023-03-22,2023,3,22,수,임야,서울특별시 종로구 부암동 359-19,서울특별시,종로구,부암동,359-19,3314.0,1002.5,149130000,61083000,60,4,지분매각
